GROUP_ID|LINK_ID|POSITIVE|BND_IDX|BND_TYPE|COLOR|BND_COVER
53266500320037991|5326650032003799|1|2|3|0|0
53266500320037991|5326650032003799|1|3|3|0|0
53266500320037991|5326650032003799|1|4|0|15|0
53266500320038051|5326650032003805|1|1|11|15|0
53266500320038051|5326650032003805|1|2|3|6|0
53266500320038051|5326650032003805|1|3|7|6|0
53266500320038061|5326650032003806|1|1|11|15|0
53266500320038061|5326650032003806|1|2|3|6|0
53266500320038061|5326650032003806|1|3|1|0|2
53266500320038061|5326650032003806|1|4|3|0|0
53266500320038061|5326650032003806|1|5|0|15|0
53266500320038071|5326650032003807|1|1|7|6|0
53266500320038071|5326650032003807|1|2|1|0|0
53266500320038071|5326650032003807|1|3|0|15|0
53266500320038081|5326650032003808|1|1|0|15|0
53266500320038081|5326650032003808|1|2|3|0|0
53266500320038081|5326650032003808|1|3|3|0|0
53266500320038081|5326650032003808|1|4|0|15|0
53266500320038101|5326650032003810|1|1|0|15|0
53266500320038101|5326650032003810|1|2|3|0|0
53266500320038101|5326650032003810|1|3|3|0|0
53266500320038101|5326650032003810|1|4|0|15|0
53266500320038131|5326650032003813|1|1|11|15|0
53266500320038131|5326650032003813|1|2|3|6|0
53266500320038131|5326650032003813|1|3|7|0|0
53266500320038141|5326650032003814|1|1|11|15|0
53266500320038141|5326650032003814|1|2|3|6|0
53266500320038141|5326650032003814|1|3|7|6|0
53266500320038150|5326650032003815|0|1|3|6|0
53266500320038150|5326650032003815|0|2|3|0|0
53266500320038150|5326650032003815|0|3|0|15|0
53266500320038151|5326650032003815|1|1|3|6|0
53266500320038151|5326650032003815|1|2|3|0|2
53266500320038151|5326650032003815|1|3|11|15|0
53266500320038191|5326650032003819|1|1|3|6|0
53266500320038191|5326650032003819|1|2|3|0|0
53266500320038191|5326650032003819|1|3|0|15|0
53266500320038261|5326650032003826|1|1|0|15|0
53266500320038261|5326650032003826|1|2|3|0|3
53266500320038261|5326650032003826|1|3|3|6|0
53266500320038261|5326650032003826|1|4|3|6|0
53266500320038261|5326650032003826|1|5|3|9|0
53266500320038261|5326650032003826|1|6|1|0|2
53266500320038261|5326650032003826|1|7|3|0|2
53266500320038261|5326650032003826|1|8|1|0|2
53266500320038261|5326650032003826|1|9|3|0|2
53266500320038261|5326650032003826|1|10|3|0|3
53266500320038261|5326650032003826|1|11|0|15|0
53266500320038291|5326650032003829|1|1|0|15|0
53266500320038291|5326650032003829|1|2|3|0|0
53266500320038291|5326650032003829|1|3|4|0|0
53266500320038291|5326650032003829|1|4|1|0|0
53266500320038291|5326650032003829|1|5|1|0|0
53266500320038291|5326650032003829|1|6|3|0|0
53266500320038291|5326650032003829|1|7|0|15|0
53266500320038331|5326650032003833|1|1|22|15|0
53266500320038331|5326650032003833|1|2|3|0|0
53266500320038331|5326650032003833|1|3|3|0|0
53266500320038331|5326650032003833|1|4|3|0|0
53266500320038331|5326650032003833|1|5|3|0|0
53266500320038401|5326650032003840|1|1|0|15|2
53266500320038401|5326650032003840|1|2|3|0|0
53266500320038401|5326650032003840|1|3|3|0|0
53266500320038401|5326650032003840|1|4|0|15|0
53266500320038411|5326650032003841|1|1|0|15|0
53266500320038411|5326650032003841|1|2|0|15|2
53266500320038421|5326650032003842|1|1|0|15|0
53266500320038421|5326650032003842|1|2|0|15|0
53266500320038440|5326650032003844|0|1|3|6|0
53266500320038440|5326650032003844|0|2|3|0|2
53266500320038440|5326650032003844|0|3|11|15|0
53266500320038441|5326650032003844|1|1|3|6|0
53266500320038441|5326650032003844|1|2|1|0|0
53266500320038441|5326650032003844|1|3|3|0|0
53266500320038441|5326650032003844|1|4|0|15|0
53266500320038450|5326650032003845|0|1|3|6|0
53266500320038450|5326650032003845|0|2|3|0|1
53266500320038450|5326650032003845|0|3|11|15|0
53266500320038451|5326650032003845|1|1|3|6|0
53266500320038451|5326650032003845|1|2|1|0|0
53266500320038451|5326650032003845|1|3|3|0|0
53266500320038451|5326650032003845|1|4|0|15|0
53266500320038460|5326650032003846|0|1|3|6|0
53266500320038460|5326650032003846|0|2|1|0|0
53266500320038460|5326650032003846|0|3|11|15|0
53266500320038461|5326650032003846|1|1|3|6|0
53266500320038461|5326650032003846|1|2|1|0|1
53266500320038491|5326650032003849|1|1|7|0|0
53266500320038491|5326650032003849|1|2|3|0|0
53266500320038491|5326650032003849|1|3|0|15|0
53266500320038531|5326650032003853|1|1|22|15|0
53266500320038531|5326650032003853|1|2|3|0|0
53266500320038531|5326650032003853|1|3|3|0|3
53266500320038531|5326650032003853|1|4|0|15|3
53266500320038631|5326650032003863|1|1|0|15|2
53266500320038631|5326650032003863|1|2|3|0|2
53266500320038631|5326650032003863|1|3|3|0|2
53266500320038631|5326650032003863|1|4|0|15|0
53266500320038661|5326650032003866|1|1|0|15|0
53266500320038661|5326650032003866|1|2|3|0|0
53266500320038661|5326650032003866|1|3|3|0|0
53266500320038661|5326650032003866|1|4|0|15|0
53266500320038671|5326650032003867|1|1|11|15|0
53266500320038671|5326650032003867|1|2|3|0|0
53266500320038671|5326650032003867|1|3|3|0|0
53266500320038671|5326650032003867|1|4|0|15|0
53266500320038681|5326650032003868|1|1|0|15|0
53266500320038681|5326650032003868|1|2|3|0|0
53266500320038681|5326650032003868|1|3|3|0|0
53266500320038681|5326650032003868|1|4|0|15|0
53266500320038691|5326650032003869|1|1|11|15|0
53266500320038691|5326650032003869|1|2|3|0|0
53266500320038691|5326650032003869|1|3|3|0|0
53266500320038691|5326650032003869|1|4|0|15|0
53266500320038711|5326650032003871|1|1|22|15|0
53266500320038711|5326650032003871|1|2|22|15|0
53266500320038731|5326650032003873|1|1|0|15|0
53266500320038731|5326650032003873|1|2|3|0|0
53266500320038731|5326650032003873|1|3|3|0|0
53266500320038731|5326650032003873|1|4|0|15|0
53266500320038751|5326650032003875|1|1|22|15|1
53266500320038751|5326650032003875|1|2|3|6|0
53266500320038751|5326650032003875|1|3|1|0|0
53266500320038751|5326650032003875|1|4|1|0|0
53266500320038751|5326650032003875|1|5|5|0|0
53266500320038751|5326650032003875|1|6|3|0|1
53266500320038751|5326650032003875|1|7|22|15|0
53266500320038771|5326650032003877|1|1|0|15|0
53266500320038771|5326650032003877|1|2|3|0|0
53266500320038771|5326650032003877|1|3|3|0|0
53266500320038800|5326650032003880|0|1|3|6|0
53266500320038800|5326650032003880|0|2|3|0|0
53266500320038800|5326650032003880|0|3|11|15|0
53266500320038801|5326650032003880|1|1|3|6|0
53266500320038801|5326650032003880|1|2|3|0|0
53266500320038801|5326650032003880|1|3|0|15|0
53266500320038811|5326650032003881|1|1|0|15|0
53266500320038811|5326650032003881|1|2|3|0|0
53266500320038811|5326650032003881|1|3|3|0|0
53266500320038811|5326650032003881|1|4|0|15|0
53266500320038821|5326650032003882|1|1|0|15|0
53266500320038821|5326650032003882|1|2|3|0|0
53266500320038821|5326650032003882|1|3|3|0|0
53266500320038821|5326650032003882|1|4|0|15|0
53266500320038821|5326650032003882|1|5|22|15|0
53266500320038831|5326650032003883|1|1|0|15|0
53266500320038831|5326650032003883|1|2|3|0|0
53266500320038831|5326650032003883|1|3|3|0|0
53266500320038831|5326650032003883|1|4|0|15|0
53266500320038841|5326650032003884|1|1|3|6|2
53266500320038841|5326650032003884|1|2|3|6|2
53266500320038841|5326650032003884|1|3|3|0|0
53266500320038841|5326650032003884|1|4|3|0|0
53266500320038841|5326650032003884|1|5|3|6|0
53266500320038841|5326650032003884|1|6|3|6|0
53266500320038861|5326650032003886|1|1|0|15|0
53266500320038861|5326650032003886|1|2|3|0|0
53266500320038861|5326650032003886|1|3|3|0|0
53266500320038861|5326650032003886|1|4|0|15|0
53266500320038871|5326650032003887|1|1|0|15|0
53266500320038871|5326650032003887|1|2|3|0|0
53266500320038871|5326650032003887|1|3|3|0|0
53266500320038871|5326650032003887|1|4|0|15|0
53266500320038891|5326650032003889|1|1|0|15|0
53266500320038891|5326650032003889|1|2|3|0|0
53266500320038891|5326650032003889|1|3|3|0|0
53266500320038891|5326650032003889|1|4|0|15|0
53266500320038901|5326650032003890|1|1|22|15|0
53266500320038901|5326650032003890|1|2|3|0|1
53266500320038901|5326650032003890|1|3|3|0|1
53266500320038901|5326650032003890|1|4|0|15|0
53266500320038911|5326650032003891|1|1|0|15|0
53266500320038911|5326650032003891|1|2|3|0|0
53266500320038911|5326650032003891|1|3|3|0|0
53266500320038911|5326650032003891|1|4|0|15|0
53266500320038911|5326650032003891|1|5|22|15|0
53266500320038921|5326650032003892|1|1|0|15|0
53266500320038921|5326650032003892|1|2|3|0|0
53266500320038921|5326650032003892|1|3|3|0|0
53266500320038921|5326650032003892|1|4|0|15|0
53266500320038941|5326650032003894|1|1|0|15|0
53266500320038941|5326650032003894|1|2|3|0|2
53266500320038941|5326650032003894|1|3|0|15|0
53266500320038961|5326650032003896|1|1|22|15|0
53266500320038961|5326650032003896|1|2|3|6|0
53266500320038961|5326650032003896|1|3|1|0|0
53266500320038961|5326650032003896|1|4|1|0|0
53266500320038961|5326650032003896|1|5|3|0|0
53266500320038961|5326650032003896|1|6|0|15|0
53266500320038971|5326650032003897|1|1|0|15|0
53266500320038971|5326650032003897|1|2|3|0|0
53266500320038971|5326650032003897|1|3|3|0|0
53266500320038971|5326650032003897|1|4|0|15|0
53266500320038991|5326650032003899|1|1|0|15|0
53266500320038991|5326650032003899|1|2|3|0|0
53266500320038991|5326650032003899|1|3|3|0|0
53266500320038991|5326650032003899|1|4|0|15|0
53266500320038991|5326650032003899|1|5|3|0|2
53266500320038991|5326650032003899|1|6|3|0|0
53266500320039001|5326650032003900|1|1|0|15|0
53266500320039001|5326650032003900|1|2|3|0|0
53266500320039001|5326650032003900|1|3|3|0|0
53266500320039011|5326650032003901|1|1|22|15|0
53266500320039011|5326650032003901|1|2|3|0|0
53266500320039011|5326650032003901|1|3|3|0|0
53266500320039011|5326650032003901|1|4|3|0|0
53266500320039011|5326650032003901|1|5|3|0|0
53266500320039021|5326650032003902|1|1|0|15|0
53266500320039021|5326650032003902|1|2|3|0|0
53266500320039021|5326650032003902|1|3|3|0|0
53266500320039021|5326650032003902|1|4|3|0|0
53266500320039021|5326650032003902|1|5|3|0|0
53266500320039031|5326650032003903|1|1|0|15|0
53266500320039031|5326650032003903|1|2|3|0|0
53266500320039031|5326650032003903|1|3|3|0|0
53266500320039031|5326650032003903|1|4|3|0|0
53266500320039031|5326650032003903|1|5|3|0|0
53266500320039041|5326650032003904|1|1|22|15|0
53266500320039041|5326650032003904|1|2|3|0|0
53266500320039041|5326650032003904|1|3|3|0|0
53266500320039041|5326650032003904|1|4|3|0|0
53266500320039041|5326650032003904|1|5|3|0|0
53266500320039051|5326650032003905|1|1|3|0|1
53266500320039051|5326650032003905|1|2|3|0|1
53266500320039051|5326650032003905|1|3|3|0|0
53266500320039051|5326650032003905|1|4|1|0|0
53266500320039051|5326650032003905|1|5|1|0|0
53266500320039051|5326650032003905|1|6|3|0|0
53266500320039051|5326650032003905|1|7|0|15|0
53266500320039061|5326650032003906|1|1|0|15|0
53266500320039061|5326650032003906|1|2|3|6|0
53266500320039061|5326650032003906|1|3|1|0|0
53266500320039061|5326650032003906|1|4|1|0|0
53266500320039061|5326650032003906|1|5|3|0|0
53266500320039061|5326650032003906|1|6|0|15|0
53266500320039071|5326650032003907|1|1|22|15|0
53266500320039071|5326650032003907|1|2|3|6|0
53266500320039071|5326650032003907|1|3|1|0|0
53266500320039071|5326650032003907|1|4|1|0|0
53266500320039071|5326650032003907|1|5|3|0|0
53266500320039071|5326650032003907|1|6|0|15|0
53266500320039081|5326650032003908|1|1|22|15|0
53266500320039081|5326650032003908|1|2|3|6|0
53266500320039081|5326650032003908|1|3|1|0|0
53266500320039081|5326650032003908|1|4|1|0|0
53266500320039081|5326650032003908|1|5|3|0|0
53266500320039081|5326650032003908|1|6|22|15|0
53266500320039101|5326650032003910|1|1|22|15|0
53266500320039101|5326650032003910|1|2|3|0|0
53266500320039101|5326650032003910|1|3|3|0|1
53266500320039101|5326650032003910|1|4|0|15|1
53266500320039111|5326650032003911|1|1|0|15|0
53266500320039111|5326650032003911|1|2|3|0|1
53266500320039111|5326650032003911|1|3|0|15|0
53266500320039121|5326650032003912|1|1|0|15|0
53266500320039121|5326650032003912|1|2|3|0|2
53266500320039121|5326650032003912|1|3|3|0|0
53266500320039121|5326650032003912|1|4|0|15|0
53266500320039131|5326650032003913|1|1|22|15|0
53266500320039131|5326650032003913|1|2|3|0|0
53266500320039131|5326650032003913|1|3|3|0|2
53266500320039131|5326650032003913|1|4|0|15|2
53266500320039151|5326650032003915|1|1|0|15|0
53266500320039151|5326650032003915|1|2|3|0|1
53266500320039151|5326650032003915|1|3|3|0|1
53266500320039151|5326650032003915|1|4|0|15|0
53266500320039161|5326650032003916|1|1|0|15|0
53266500320039161|5326650032003916|1|2|3|0|0
53266500320039161|5326650032003916|1|3|3|0|0
53266500320039161|5326650032003916|1|4|0|15|0
53266500320039171|5326650032003917|1|1|0|15|0
53266500320039171|5326650032003917|1|2|3|0|2
53266500320039171|5326650032003917|1|3|3|0|0
53266500320039171|5326650032003917|1|4|0|15|0
53266500320039191|5326650032003919|1|1|3|0|0
53266500320039191|5326650032003919|1|2|3|0|0
53266500320039191|5326650032003919|1|3|0|15|0
53266500320039201|5326650032003920|1|1|22|15|2
53266500320039201|5326650032003920|1|2|0|15|2
53266500320039201|5326650032003920|1|3|3|0|0
53266500320039201|5326650032003920|1|4|3|0|0
53266500320039201|5326650032003920|1|5|0|15|0
