FolderPath,PrefabName,InitPos,InitRot,GameObjectName
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-91.46745855736471/-0.5069997940055464/-2007.4839977978556,0.0/0.0/0.0,B319BS010072
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-35.60345848259637/-0.5200000132720236/-1823.2189977965265,0.0/0.0/0.0,B319BS010073
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-184.74349266531132/-0.5280006561279295/-1904.7508671338417,0.0/0.0/0.0,B319BS010074
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-181.59165100481596/-0.5600002441406247/-1903.3034120163825,0.0/0.0/0.0,B319BS010075
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-218.51812641489792/-0.5070007476806636/-1259.0282151448853,0.0/0.0/0.0,B319BS010076
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-214.33642827888792/-0.4369991455078121/-1258.9432486356004,0.0/0.0/0.0,B319BS010077
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-218.66496066298038/-0.4919994506835933/-1225.7424978193462,0.0/0.0/0.0,B319BS010078
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-214.31895876840716/-0.4399994049072262/-1225.809497802178,0.0/0.0/0.0,B319BS010079
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-209.50016076071952/-0.44100076293945273/-1225.787248041403,0.0/0.0/0.0,B319BS010080
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-205.09982961239092/-0.4830002379666238/-1225.9692149071639,0.0/0.0/0.0,B319BS010081
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-218.87583755841092/-0.5084999234831706/-1177.722723383049,0.0/0.0/0.0,B319BS010082
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-214.63930495201737/-0.47699971788975504/-1177.6567753877675,0.0/0.0/0.0,B319BS010083
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-205.34545875701457/-0.49649983978270684/-1177.5199978013356,0.0/0.0/0.0,B319BS010084
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-218.96798893980667/-0.488874733733079/-1157.9712488106786,0.0/0.0/0.0,B319BS010085
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-214.78845877158926/-0.46799928283691367/-1158.066497801679,0.0/0.0/0.0,B319BS010086
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-209.6013336899017/-0.48115063290531185/-1157.955024122177,0.0/0.0/0.0,B319BS010087
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-205.1817377961095/-0.483000579833984/-1157.7215012938564,0.0/0.0/0.0,B319BS010088
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-209.52245876000353/-0.43599969482444756/-1259.0144978021524,0.0/0.0/0.0,B319BS010089
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-93.95695855839283/-0.5070001002844499/-2011.604497800054,0.0/0.0/0.0,B319BS010090
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-141.33371757876063/-0.5959989789930156/-1381.7455284608145,0.0/0.0/0.0,B319BS010091
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-137.854114150792/-0.5575008049816815/-1382.0412223359087,0.0/0.0/0.0,B319BS010092
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-133.8789575650232/-0.5731178554194153/-1381.8734973495204,0.0/0.0/0.0,B319BS010093
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-214.05745876285116/-0.4644995303626638/-1343.71699781031,0.0/0.0/0.0,B319BS010094
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-210.08845875752715/-0.4585001496512481/-1343.7604978016952,0.0/0.0/0.0,B319BS010095
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-210.21233655243194/-0.43565650582971893/-1288.1767218037003,0.0/0.0/0.0,B319BS010096
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-214.24510344625375/-0.4469992635186172/-1288.3860303703432,0.0/0.0/0.0,B319BS010097
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,231.36284248923127/-0.1990001831054684/-723.9614548862895,0.0/0.0/0.0,B319BS010098
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,273.1936095638079/-0.02200013732910122/-739.5581001366573,0.0/0.0/0.0,B319BS010099
